title,url,description,likes
Helios,https://fossunited.org/fosshack/2023/project?project=Helios,"The 6 degree-of-freedom rocket model is a simulation that accurately predicts the trajectory, apogee, and other parameters of a rocket during flight. It takes into account atmospheric conditions, turb",44
VizhiTamil,https://fossunited.org/fosshack/2023/project?project=VizhiTamil,"The Vizhi Tamil App is an open source android application that is incredibly useful for individuals who are visually impaired. Developed with Kotlin, this app utilizes the trained Tesseract model and ",20
Spell4Wiki,https://fossunited.org/fosshack/2023/project?project=Spell4Wiki,"Spell4Wiki > Spell For Wiktionary(Wikimedia Commons).\nSpell4Wiki is mobile app for upload audio files to Wikimedia commons and Wiktionary based multilingual dictionary.\n\n",18
Wiki-Bulky,https://fossunited.org/fosshack/2023/project?project=Wiki-Bulky,"Wiki-Bulky --> Bulk download of media files from Wikimedia commons & Bulk upload of words with meaning to Wikitionary.\n",13
SpotWikiEdit,https://fossunited.org/fosshack/2023/project?project=SpotWikiEdit,"An firefox addon for a wikipedia that enables the wiki user to edit the wikipage without going into editmode. They can spot a mistake in UI and double click on it and edit it. ",13
Quick-Wiktionary,https://fossunited.org/fosshack/2023/project?project=Quick-Wiktionary,"Getting word meaning from wkitionary, while selecting the word in browser for any website.",10
Carbo,https://fossunited.org/fosshack/2023/project?project=Carbo,"Our application is to popularize and promote the system of carbon credits to the common people as a way of income along with sustainable development.",6
PODCLI,https://fossunited.org/fosshack/2023/project?project=PODCLI,"PodCli is a open source and free software that delivers short and crisp summaries of lengthy and boring videos and audios of Podcast",6
WRAP,https://fossunited.org/fosshack/2023/project?project=WRAP,"WRAP features the best waste management system for rapidly growing cities. An online platform for e-waste buyers, sellers and all other kinds of waste management industries. WRAP mainly serves as a pl",6
SWIM,https://fossunited.org/fosshack/2023/project?project=SWIM,"An emotional indicator to music.",6
FossFolio,https://fossunited.org/fosshack/2023/project?project=FossFolio,"FossFolio is a web application that lets you host events and hackathons and lets users buy tickets for your events. we provide a dashboard to the event host to access participants' info. in our beta v",5
DISS-LEXIA,https://fossunited.org/fosshack/2023/project?project=DISS-LEXIA,"Helping people suffering from Dyslexia to read websites easily with an open source tool",5
Weather Predictor,https://fossunited.org/fosshack/2023/project?project=Weather%20Predictor,"We will be creating a website/webapp by integrating ML algorithms which analyses the past data of weather across India and predicts the future weather. Furthermore, this model can also predict humidit",5
DNArchery,https://fossunited.org/fosshack/2023/project?project=DNArchery,"A free and open-source DNA Sequencing/Visualization software for bioinformatics research.",5
Project UniNet,https://fossunited.org/fosshack/2023/project?project=Project%20UniNet,"UniNet is a platform for College students to showcase their skills and collaborate with other students.",5
Mon Events,https://fossunited.org/fosshack/2023/project?project=Mon%20Events,"A platform to host meetups, hackathons and conferences",5
Chat Neuron,https://fossunited.org/fosshack/2023/project?project=Chat%20Neuron,"An Application and an AI Library can able to train NLP Chatbot Model with own custome dataset. User or Developer can able to train the AI NLP chat bot Model by uploading their custome dataset.",4
CircuitVerse Improvements Project,https://fossunited.org/fosshack/2023/project?project=CircuitVerse%20Improvements%20Project,"This project contains minor and major improvements in CircuitVerse core repositories",4
Seyali,https://fossunited.org/fosshack/2023/project?project=Seyali,"Computer vision is a highly booming technology where a lot of data are handled. As the data usage is too much there is a lack of data annotation/training tools. Our aim is to develop an opensource too",4
Melos,https://fossunited.org/fosshack/2023/project?project=Melos,"An emotional indicator to music.",4
FIYOC,https://fossunited.org/fosshack/2023/project?project=FIYOC,"The objective of this project is to develop a system that can efficiently search for the best open source contributor based on the specific needs of the company. This will help the company to find the",4
Shooting Words,https://fossunited.org/fosshack/2023/project?project=Shooting%20Words,"A Shooter Game which helps you learn Languages in a fun and engaging way. ",4
Cheapify,https://fossunited.org/fosshack/2023/project?project=Cheapify,"\\*\\*An aggregator for aggregators!\\*\\*\n\nA web application to aggregate data from various e-commerce websites like amazon, flipkart, snapdeal, etc. and provide the user with the best price for the product",4
FURN X AR,https://fossunited.org/fosshack/2023/project?project=FURN%20X%20AR,"Preview furniture in real time, adjust size and placement, and explore endless design possibilities. Perfect for interior designers, architects, and anyone who loves to experiment with different desig",4
Bon-Voyage,https://fossunited.org/fosshack/2023/project?project=Bon-Voyage,"Bon-Voyage allows users to compare the costs and travel times of buses, trains, and planes while moving from one location to another, thereby saving a tonne of time.",4
Precio,https://fossunited.org/fosshack/2023/project?project=Precio,"Precio is a comprehensive application designed to assist modern farmers in optimizing their agricultural operations by incorporating precision farming practices. ",4
SafeChat,https://fossunited.org/fosshack/2023/project?project=SafeChat,"SafeChat is a open-source and secure chat app that prioritizes security in every aspect. It's easy to use and provides a platform for the secure exchange of confidential data.\n\nSafeChat provides a sec",4
PING-T,https://fossunited.org/fosshack/2023/project?project=PING-T,"An anti-spam and fraud detection technology, Similar to Truecaller, that identifies the bank-verified names of associated phone numbers in order to avoid spam and fraud.In contrast to Truecaller, wher",4
Dypres,https://fossunited.org/fosshack/2023/project?project=Dypres,"Dypres allows presentations that are tailored to the specific needs of the audience, and that can be updated on the fly to ensure that the most relevant and up-to-date information is always being pres",4
MinutE,https://fossunited.org/fosshack/2023/project?project=MinutE,"An open-source software to maximize your time and minimize your effort by making time efficient schedules minute by minute for you:))\n\n",4
VisualIT,https://fossunited.org/fosshack/2023/project?project=VisualIT,"VisualIT is a web app for visualizing a bunch of different sorting algorithms like merge sort , bubble sort ,etc.\n",3
Signo,https://fossunited.org/fosshack/2023/project?project=Signo,"About 70 million people in this world are unable to communicate with us properly due to their inability to speak or hear. What we sought to create was an innovative product that would be accessible to",3
CareerTrack,https://fossunited.org/fosshack/2023/project?project=CareerTrack,"CareerTrack is a web app designed to help users track and analyze job opportunities. Our app helps to improve productivity and saves time spent on regularly checking mails as well. Email is also track",3
Helper,https://fossunited.org/fosshack/2023/project?project=Helper,"A structured website for efficient learning and an inbuilt Resume Builder. ",3
snipd,https://fossunited.org/fosshack/2023/project?project=snipd,"Notes, articles, and PDF files across multiple web pages, made easy to annotate and organize via a user-friendly extension (and friends)",3
MC Coffee Roosters website -A Cafe website that is open source,https://fossunited.org/fosshack/2023/project?project=MC%20Coffee%20Roosters%20website%20-A%20Cafe%20website%20that%20is%20open%20source," Welcome to our open source cafe website. Our menu features fair trade coffee and locally sourced baked goods. \nThis Project is built using HTML and CSS only . ",3
Form Ease,https://fossunited.org/fosshack/2023/project?project=Form%20Ease,"Let me introduce you to Form Ease, the best software for quickly building interesting quizzes! You can quickly turn your quiz questions from a sheet into a fully-featured quiz web app that users can a",3
Task cruncher,https://fossunited.org/fosshack/2023/project?project=Task%20cruncher,"Command lines are no more boring to work on.User will get random Game suggestions when typing bored on linux/windows/mac",3
Raven,https://fossunited.org/fosshack/2023/project?project=Raven,"Raven is a simple work messaging tool that is built using Frappe Framework and can be installed on any new or existing Frappe site (e.g. in addition to ERPNext or Gameplan). It is designed to help tea",3
Project Xero,https://fossunited.org/fosshack/2023/project?project=Project%20Xero,"A tiny project that strives to create an impact",3
PiP cc and controls,https://fossunited.org/fosshack/2023/project?project=PiP%20cc%20and%20controls,"Browser extension for picture in picture mode ",3
